classe_fm,situacao,dist_min_km
E1,cocanal,94.0
E1,adjacente_1,38.0
E2,cocanal,81.0
E2,adjacente_1,31.0
E3,cocanal,67.0
E3,adjacente_1,24.0
A1,cocanal,49.0
A1,adjacente_1,17.0
A2,cocanal,44.5
A2,adjacente_1,14.0
A3,cocanal,39.0
A3,adjacente_1,11.5
A4,cocanal,31.5
A4,adjacente_1,8.5
B1,cocanal,22.5
B1,adjacente_1,5.0
B2,cocanal,17.5
B2,adjacente_1,3.5
C,cocanal,12.0
C,adjacente_1,2.5
