classe,faixa_canal,erp_max_kw,hnmt_ref_m,dist_max_contorno_protegido_km
Especial,2-6,100.0,150.0,64.7
Especial,7-13,316.0,150.0,54.2
Especial,14-51,1.6,150.0,50.9
A,2-6,10.0,150.0,42.1
A,7-13,31.6,150.0,36.3
A,14-51,160.0,150.0,35.2
B,2-6,1.0,150.0,25.8
B,7-13,3.16,150.0,22.8
B,14-51,16.0,150.0,22.6
C,2-6,0.1,150.0,15.0
C,7-13,0.316,150.0,13.1
C,14-51,1.6,150.0,13.2
