classe,erp_max_kw,hnmt_max_m,dist_max_contorno66_km
E1,100.0,600.0,78.5
E2,75.0,450.0,67.5
E3,60.0,300.0,54.5
A1,50.0,150.0,38.5
A2,30.0,150.0,35.0
A3,15.0,150.0,30.0
A4,5.0,150.0,24.0
B1,3.0,90.0,16.5
B2,1.0,90.0,12.5
C,0.3,60.0,7.5
