classe,faixa_canal,erp_max_kw,hnmt_ref_m,dist_max_contorno_protegido_km
Especial,7-13,16.0,150.0,65.6
Especial,14-46,80.0,150.0,58.0
Especial,47-51,100.0,150.0,58.0
A,7-13,1.6,150.0,47.9
A,14-51,8.0,150.0,42.5
B,7-13,0.16,150.0,32.3
B,14-51,0.8,150.0,29.1
C,7-13,0.016,150.0,20.2
C,14-51,0.08,150.0,18.1
